name,trigger
plotnik,Fortuna
plotnik,Meszka
plotnik,Siwik
plotnik,Haskell
plotnik,Erlang
plotnik,Scala
plotnik,Sapor
plotnik,Biel
plotnik,Kosińska
plotnik,Garek
plotnik,OWI
plotnik,Falisz
plotnik,Monica
plotnik,DSJ
plotnik,Cyberpunk
plotnik,AB
plotnik,Analiza
plotnik,Triss
plotnik,Yennefer
plotnik,co to za trolling?
plotnik,CS: GO z Szczygi
plotnik,Longpoll
plotnik,Łormsy
plotnik,Kobiety
plotnik,Czarni
plotnik,PiS
plotnik,szczęście zajmy
plotnik,women in tech
plotnik,Wynik w kalamburach
plotnik,Metryka
plotnik,Inżynierka
plotnik,Terminy obron
plotnik,EJPL
plotnik,"chemia, najszczęściej ziemia coś takiego nie"
plotnik,proszki kurde